################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2          7   0.0000000000000000E+00   3.9288244429991273E+00   3.4658768795488704E-01   5.5487295210390231E-01
         2          8   0.0000000000000000E+00   3.7353125278609651E+00   1.2765800613207359E+00   3.9199066420827822E-01
         2          9   0.0000000000000000E+00   9.5120287660472140E+00   1.2093963379162507E+00   1.7832031050972372E+00
         2         10   0.0000000000000000E+00   9.5478439521778142E+00   4.3895571112111647E+00   1.1796348377174688E+00
         2         11   0.0000000000000000E+00   1.9301062339319379E+00   8.9611358209285008E-02   1.6800000371249729E-01
         2         12   0.0000000000000000E+00   2.0004698880737881E+00   2.9177472578811031E-01   1.3054133051462258E-01
         2         13   0.0000000000000000E+00   8.0164672920816713E+00   7.8379020934033705E-01   1.2420107622241996E+00
         2         14   0.0000000000000000E+00   7.0095742602492432E+00   3.0281995417253413E+00   8.9528369902781835E-01
         2         15   0.0000000000000000E+00   7.5993986225955024E-01   1.1173276185597148E-02   3.0686494517981191E-02
         2         16   0.0000000000000000E+00   8.1338897874939675E-01   2.0116884077176926E-02   3.2648051823666618E-02
         2         17   0.0000000000000000E+00   6.4790482305347386E+00   4.4254697029568918E-01   7.7713914399717254E-01
         2         18   0.0000000000000000E+00   5.7782805422057040E+00   1.6410542955805509E+00   6.0980354826182570E-01
         2         19   0.0000000000000000E+00   4.7053001710499700E+00   1.6933248027841952E-01   3.7781560040126094E-01
         2         20   0.0000000000000000E+00   5.2221560787800678E+00   3.5539700837185556E-01   2.9449470946214229E-01
         2         21   0.0000000000000000E+00   3.6793338648329299E+00   8.0455457714804238E-02   2.3596935571227762E-01
         2         22   0.0000000000000000E+00   5.0858719400903949E+00   7.5062197007451509E-02   2.1708536040499046E-01
         2         23   0.0000000000000000E+00   1.5373117042223891E+01   8.2985782566914534E-01   1.4565720747616246E+00
         2         24   0.0000000000000000E+00   1.6065144394598036E+01   1.2807327188188848E+00   1.9990466089622938E+00
         2         25   0.0000000000000000E+00   1.4699597471189092E+01   3.0588193834041335E+00   1.6102271002158535E+00
         2         26   0.0000000000000000E+00   4.9064456488363156E+01   4.6445943146393489E+00   7.4670282564596597E+00
         2         27   0.0000000000000000E+00   3.2905503940048490E+01   2.9203961892864649E+00   4.0214916375481762E+00
         2         28   0.0000000000000000E+00   3.8028984844379188E+01   8.5761451774308703E+00   4.1245715436280328E+00
         2         29   0.0000000000000000E+00   8.3411539441807587E+00   2.0525947791181037E-01   4.0891704526182926E-01
         2         30   0.0000000000000000E+00   9.6860721038538546E+00   5.6526540458419139E-01   9.5616130139392608E-01
         2         31   0.0000000000000000E+00   7.5021361475948245E+00   1.1219088320365365E+00   6.7205812195974057E-01
         2         32   0.0000000000000000E+00   4.1613518656458119E+01   4.0199959668820311E+00   6.4179795537893884E+00
         2         33   0.0000000000000000E+00   2.6047092260590716E+01   2.2049288750517650E+00   2.9839469558440546E+00
         2         34   0.0000000000000000E+00   2.9586615441341209E+01   6.6392346260632475E+00   3.1827032619341908E+00
