################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2          7   0.0000000000000000E+00   3.9288244429991273E+00   3.4175424206382582E-01   5.5004813111461326E-01
         2          8   1.9744977255985677E-03   3.1596772322481872E+00   1.2733618685148700E+00   3.8226444826476946E-01
         2          9   0.0000000000000000E+00   9.5120287660472140E+00   1.1995323420936737E+00   1.7788899087144281E+00
         2         10   2.3655071562232878E-02   9.5478439521778142E+00   4.3952183915751899E+00   1.1689881757658585E+00
         2         11   0.0000000000000000E+00   1.6513665292607516E+00   8.7070817630865771E-02   1.6298009604829727E-01
         2         12   1.7183432670858286E-05   9.9064935411712507E-01   2.8736130580285663E-01   1.1142857528701948E-01
         2         13   0.0000000000000000E+00   8.0164672920816713E+00   7.7509877651978065E-01   1.2358683959010499E+00
         2         14   2.3931214428125026E-03   7.0095742602492432E+00   3.0278293026190690E+00   8.8567367832356314E-01
         2         15   0.0000000000000000E+00   5.0484882051953217E-01   1.0243424218644199E-02   2.6575145244378474E-02
         2         16   1.4448474142013999E-09   1.3801893178934790E-01   1.7942166978057020E-02   1.1765017844635080E-02
         2         17   0.0000000000000000E+00   6.4790482305347386E+00   4.3531579265530296E-01   7.6931712382570827E-01
         2         18   2.6351558933597558E-05   4.7231770074631996E+00   1.6340864660409702E+00   5.9230076888290917E-01
         2         19   0.0000000000000000E+00   4.7053001710499700E+00   1.6347377470767821E-01   3.6623884311071925E-01
         2         20   4.3612771579975582E-11   2.3474093831244245E+00   3.4203612533041849E-01   2.2271162951224757E-01
         2         21   0.0000000000000000E+00   3.6625512743136439E+00   7.4812667630806712E-02   2.1841464589585133E-01
         2         22   9.3811915659515802E-19   1.3215319130752838E+00   6.0578188490794702E-02   8.0399634685660332E-02
         2         23   0.0000000000000000E+00   1.5373117042223891E+01   8.2708201006001492E-01   1.4564798250182878E+00
         2         24   0.0000000000000000E+00   1.3919167471901760E+01   1.2566182009048770E+00   1.9561005432747762E+00
         2         25   1.2268500732359427E-04   1.4699597471189092E+01   3.0586252464071593E+00   1.5895861197067553E+00
         2         26   0.0000000000000000E+00   4.9064456488363156E+01   4.6377325987085127E+00   7.4814566965140141E+00
         2         27   0.0000000000000000E+00   2.7626182879855101E+01   2.8741999264233113E+00   3.9422169518568806E+00
         2         28   1.1608261886180192E-03   3.8028984844379188E+01   8.5827393493018391E+00   4.0816325479642428E+00
         2         29   0.0000000000000000E+00   8.3411539441807587E+00   2.0282956506140315E-01   4.0447091200337998E-01
         2         30   0.0000000000000000E+00   7.1402228837013020E+00   5.4986351215447071E-01   9.1882301368829888E-01
