################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.1799661510677375E-01 a         1     0     1     1     1
  1.1625776353718283E+01 a         2     0     1     1     2
 -4.0582465261857692E+01 a         3     0     1     1     3
  5.1048684640910693E+01 a         4     0     1     1     4
 -3.1425362230644598E+01 a         5     0     1     1     5
 -1.3155105376334831E+01 a         6     0     1     1     6
 -1.3910836292938326E+01 a         7     0     1     1     7
 -4.9979572616179581E+01 a         8     0     1     1     8
  7.1495082825565079E+00 a         9     0     1     1     9
  2.9278942379730371E+01 a        10     0     1     1    10
  3.3297901395520952E+01 a        11     0     1     1    11
 -3.8564180228035063E+01 a        12     0     1     1    12
 -1.1174530803633091E+01 a        13     0     1     1    13
  3.4306339139822377E+01 a        14     0     1     1    14
 -4.5963894721914968E+00 a        15     0     1     1    15
  5.4948745428996517E+01 a        16     0     1     1    16
  8.9638063830826198E+00 a        17     0     1     1    17
  1.5550522170127428E+00 a        18     0     1     1    18
  1.2513438291193282E+00 a        19     0     1     1    19
  2.5659271926216065E+00 a        20     0     1     1    20
 -2.9666466968432552E+01 a        21     0     2     1     1
 -2.5587139713496164E+01 a        22     0     2     1     2
 -2.7243592266054485E+01 a        23     0     2     1     3
  2.4918297413025900E-01 a        24     0     2     1     4
  6.3245559169635271E+01 a        25     0     2     1     5
 -3.7449436533588305E+01 a        26     0     2     1     6
 -2.9842676164580930E+00 a        27     0     2     1     7
  1.9983284828072687E+01 a        28     0     2     1     8
  1.9811035864036672E+01 a        29     0     2     1     9
 -6.9098527378884294E+00 a        30     0     2     1    10
  1.1353617445464524E+01 a        31     0     2     1    11
 -3.7713666945703302E+01 a        32     0     2     1    12
  1.8293724417488868E+01 a        33     0     2     1    13
 -3.1361457144474740E+00 a        34     0     2     1    14
 -3.2393460498773401E+01 a        35     0     2     1    15
 -2.6569831463427263E+01 a        36     0     2     1    16
 -2.4550906339440953E+01 a        37     0     2     1    17
  2.4411351990327756E+01 a        38     0     2     1    18
 -7.8128814478283699E+00 a        39     0     2     1    19
 -4.1339528482468957E+00 a        40     0     2     1    20
 -4.2106592478021383E+01 a        41     0     3     1     1
 -6.4632704473718787E+00 a        42     0     3     1     2
  7.3967929527891826E+01 a        43     0     3     1     3
 -9.2188392607451561E+01 a        44     0     3     1     4
  6.1781575036374967E+01 a        45     0     3     1     5
  2.6430945599304636E+01 a        46     0     3     1     6
  6.1778136896682398E+01 a        47     0     3     1     7
  7.0054073528902379E+01 a        48     0     3     1     8
 -4.6810687158796568E+01 a        49     0     3     1     9
 -3.5598665979737746E+01 a        50     0     3     1    10
 -7.3477039689194328E+01 a        51     0     3     1    11
  3.6405431893143010E+01 a        52     0     3     1    12
  4.6867108710361912E+01 a        53     0     3     1    13
 -7.3247887707044114E+01 a        54     0     3     1    14
 -8.2343758748941500E+00 a        55     0     3     1    15
 -1.3081268065042087E+02 a        56     0     3     1    16
 -3.4728240893906481E+01 a        57     0     3     1    17
  4.5619496100242401E+01 a        58     0     3     1    18
  1.2451303208516450E+01 a        59     0     3     1    19
  7.0359207081437729E+00 a        60     0     3     1    20
  5.4919671841130494E+01 a        61     0     4     1     1
  4.7485871703042925E+01 a        62     0     4     1     2
  1.2003483394136005E+01 a        63     0     4     1     3
 -1.4088408941097992E+01 a        64     0     4     1     4
 -7.5903016857138468E+01 a        65     0     4     1     5
  7.1219254275714690E+01 a        66     0     4     1     6
 -2.1150872971241423E+01 a        67     0     4     1     7
 -5.4182971063544031E+01 a        68     0     4     1     8
 -4.5969435674531518E+01 a        69     0     4     1     9
  2.7706444131920591E+01 a        70     0     4     1    10
 -6.6705809558915590E+00 a        71     0     4     1    11
 -3.1838323314221164E+01 a        72     0     4     1    12
 -5.8471384626976935E+01 a        73     0     4     1    13
  3.2344451539414005E+00 a        74     0     4     1    14
 -9.3468315428308646E+00 a        75     0     4     1    15
  5.4153375871199522E+01 a        76     0     4     1    16
  3.1392592897112076E-01 a        77     0     4     1    17
 -1.1997700383050925E+02 a        78     0     4     1    18
  2.1016164149774852E+01 a        79     0     4     1    19
  1.7267260605312298E+01 a        80     0     4     1    20
  2.9147301153618766E+01 a        81     0     5     1     1
 -5.8940271938471547E+00 a        82     0     5     1     2
  9.6651105375576183E+00 a        83     0     5     1     3
 -2.6736325861970595E+01 a        84     0     5     1     4
  3.1343305268875813E+01 a        85     0     5     1     5
  5.1810133799638196E+00 a        86     0     5     1     6
 -1.3217671788363846E+01 a        87     0     5     1     7
  3.3484773521109275E+01 a        88     0     5     1     8
  1.3201419926530569E+01 a        89     0     5     1     9
 -4.7335746646914579E+01 a        90     0     5     1    10
 -6.5505191383282142E+00 a        91     0     5     1    11
  2.8766296531841594E+01 a        92     0     5     1    12
 -5.0576415037019444E+01 a        93     0     5     1    13
  2.8967528768503477E+01 a        94     0     5     1    14
  6.0870407140100404E+00 a        95     0     5     1    15
 -9.0040873603502813E+00 a        96     0     5     1    16
  4.7215541463808544E+00 a        97     0     5     1    17
  1.3796278070812034E+01 a        98     0     5     1    18
  1.3487915737549978E+01 a        99     0     5     1    19
  1.5774591926542501E+00 a       100     0     5     1    20
  5.4051838501567744E+00 a       101     0     6     1     1
  1.1374649627652024E+01 a       102     0     6     1     2
  5.5235168538979693E+01 a       103     0     6     1     3
  2.3490436115865940E+01 a       104     0     6     1     4
 -4.9420763956503805E+01 a       105     0     6     1     5
  7.5201942522644014E+00 a       106     0     6     1     6
  1.9850264588078470E+01 a       107     0     6     1     7
 -1.7543361785053846E+00 a       108     0     6     1     8
 -2.8505421511722742E+00 a       109     0     6     1     9
 -1.5551358850240215E+01 a       110     0     6     1    10
 -2.6174028405172372E+01 a       111     0     6     1    11
  2.0204738237630789E+01 a       112     0     6     1    12
  7.6760314458847020E+01 a       113     0     6     1    13
  1.4119357274807598E+01 a       114     0     6     1    14
  3.3375244905235166E+00 a       115     0     6     1    15
 -1.7325582890807469E+00 a       116     0     6     1    16
  1.9890924223516752E+01 a       117     0     6     1    17
 -1.9425796317837847E+01 a       118     0     6     1    18
  9.6882132601302662E-01 a       119     0     6     1    19
  1.1515331952606980E+01 a       120     0     6     1    20
 -1.0829287206302784E+01 a       121     0     7     1     1
 -7.4071086607125125E-01 a       122     0     7     1     2
 -4.9624861993781684E+00 a       123     0     7     1     3
  1.0184463750278839E+01 a       124     0     7     1     4
 -1.7263094460603941E+01 a       125     0     7     1     5
 -3.7367755917972267E-01 a       126     0     7     1     6
  6.6258253610434608E+00 a       127     0     7     1     7
 -1.4071965613100812E+01 a       128     0     7     1     8
 -7.8416048370453826E+00 a       129     0     7     1     9
  4.3559628716372906E+01 a       130     0     7     1    10
  8.3346408233427454E+00 a       131     0     7     1    11
  1.6943814407677140E+00 a       132     0     7     1    12
  3.4429814948284218E+01 a       133     0     7     1    13
 -8.8516874660489879E+00 a       134     0     7     1    14
  1.3791907670779930E+01 a       135     0     7     1    15
 -1.0882676113466156E+00 a       136     0     7     1    16
 -4.1876494038755796E+00 a       137     0     7     1    17
 -9.1657593344489676E+00 a       138     0     7     1    18
 -2.9100096141578330E+01 a       139     0     7     1    19
 -7.3789463188347781E+00 a       140     0     7     1    20
 -1.5411478890966943E+00 a       141     0     8     1     1
 -1.4931991977395846E+01 a       142     0     8     1     2
 -3.4877447852897717E+01 a       143     0     8     1     3
 -1.9511341342244261E+01 a       144     0     8     1     4
  2.6271274421111325E+01 a       145     0     8     1     5
  1.0975615826451191E+01 a       146     0     8     1     6
 -1.2780082237928276E+01 a       147     0     8     1     7
  3.9356097349111767E+00 a       148     0     8     1     8
 -2.7454344054661499E+00 a       149     0     8     1     9
 -1.7618098866444779E-01 a       150     0     8     1    10
  1.3207985364614458E+01 a       151     0     8     1    11
  8.2061034291279551E+00 a       152     0     8     1    12
 -2.7018103389700688E+01 a       153     0     8     1    13
 -5.2568867403844148E+00 a       154     0     8     1    14
  1.7342928102703500E+01 a       155     0     8     1    15
 -1.7762681096178754E+00 a       156     0     8     1    16
 -2.2391749124049863E+01 a       157     0     8     1    17
  2.3460515662048969E+01 a       158     0     8     1    18
  2.5512930330910919E+01 a       159     0     8     1    19
 -1.0910972704055901E+01 a       160     0     8     1    20
  6.3796745340374123E+01 a       161     0     9     1     1
 -7.6085004358824966E+00 a       162     0     9     1     2
 -9.5998481738668090E+01 a       163     0     9     1     3
  1.2178435887199845E+02 a       164     0     9     1     4
 -5.1658286247910667E+01 a       165     0     9     1     5
 -3.7532449278699538E+01 a       166     0     9     1     6
 -8.6949158359007910E+01 a       167     0     9     1     7
 -5.0519444656201301E+01 a       168     0     9     1     8
  8.2830848764250305E+01 a       169     0     9     1     9
  8.1140740278783412E+01 a       170     0     9     1    10
  5.7980458470334064E+01 a       171     0     9     1    11
 -3.4606514038751932E+01 a       172     0     9     1    12
  4.3783899243550994E+00 a       173     0     9     1    13
  5.6051517417596159E+01 a       174     0     9     1    14
  1.6055238539363657E+01 a       175     0     9     1    15
  1.2917793796567167E+02 a       176     0     9     1    16
  5.2875005442285797E+01 a       177     0     9     1    17
 -6.5056621161720884E+01 a       178     0     9     1    18
 -3.6843355924349559E+01 a       179     0     9     1    19
  1.4399805351363071E+00 a       180     0     9     1    20
 -1.9233381881938605E+01 a       181     0    10     1     1
 -3.8343367028550752E+01 a       182     0    10     1     2
 -5.0559235655059389E+01 a       183     0    10     1     3
  1.5881235650686554E+01 a       184     0    10     1     4
  8.4583941062098376E+01 a       185     0    10     1     5
 -7.3867790045037552E+01 a       186     0    10     1     6
  2.9137007645430717E+01 a       187     0    10     1     7
  5.3022900911452993E+01 a       188     0    10     1     8
  5.8150823649213244E+01 a       189     0    10     1     9
  1.1489271444667938E+01 a       190     0    10     1    10
  1.8611066063720031E+01 a       191     0    10     1    11
  7.2502766502988942E+00 a       192     0    10     1    12
 -2.6521619846826411E+01 a       193     0    10     1    13
  4.0220766177640188E+00 a       194     0    10     1    14
  3.1698628712804773E+01 a       195     0    10     1    15
 -4.2566099836431817E+01 a       196     0    10     1    16
 -1.1981401059669533E+01 a       197     0    10     1    17
  1.3200123245658963E+02 a       198     0    10     1    18
 -1.8968959798695398E+01 a       199     0    10     1    19
 -3.3324893686203986E+01 a       200     0    10     1    20
  4.6273185728429702E+00 a       201     0    11     1     1
  7.1086903828255128E+00 a       202     0    11     1     2
  1.2376243902339956E+01 a       203     0    11     1     3
 -9.8056512450668905E+00 a       204     0    11     1     4
  1.1945662786395813E+01 a       205     0    11     1     5
  2.5482267014910185E+01 a       206     0    11     1     6
  2.3017821024376559E+01 a       207     0    11     1     7
  3.2904585744339386E+01 a       208     0    11     1     8
  9.6798610028255752E+00 a       209     0    11     1     9
  1.1035976425247473E+02 a       210     0    11     1    10
  1.0641891003547459E+01 a       211     0    11     1    11
 -3.8149084598316264E+01 a       212     0    11     1    12
 -8.8988221197375961E-01 a       213     0    11     1    13
  4.7846635239783332E+01 a       214     0    11     1    14
  1.0465907125325339E+02 a       215     0    11     1    15
 -6.2242957750896828E+01 a       216     0    11     1    16
 -3.7878180464732033E+01 a       217     0    11     1    17
  2.1794451205518275E+01 a       218     0    11     1    18
 -1.0224156941256470E+02 a       219     0    11     1    19
  6.3486294635184217E+00 a       220     0    11     1    20
 -3.5229305692962836E+00 a       221     0    12     1     1
 -4.5329299805297381E+01 a       222     0    12     1     2
  1.7632270375203805E+00 a       223     0    12     1     3
 -4.4399356028472468E+01 a       224     0    12     1     4
  1.9770867390497983E+01 a       225     0    12     1     5
  6.8745986694688014E+01 a       226     0    12     1     6
 -3.4128726639701988E+01 a       227     0    12     1     7
 -4.3420146810837001E-01 a       228     0    12     1     8
  2.3457236310503160E+00 a       229     0    12     1     9
 -5.5364506898934287E+01 a       230     0    12     1    10
 -1.1615307287556540E+01 a       231     0    12     1    11
  7.6645830404193546E+01 a       232     0    12     1    12
  1.3842899763009926E+01 a       233     0    12     1    13
 -1.2634824494396426E+00 a       234     0    12     1    14
  4.8735359135965460E+01 a       235     0    12     1    15
 -4.3380564873723410E-01 a       236     0    12     1    16
 -1.0319893772676687E+02 a       237     0    12     1    17
