################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.5966668959248238E+01 a       117     0     6     1    17
 -9.6492189941172867E+01 a       118     0     6     1    18
 -6.5905510732693372E+01 a       119     0     6     1    19
  8.3720338866278766E+01 a       120     0     6     1    20
  3.3259607925221330E+03 a       121     0     7     1     1
  5.1774567798495457E+02 a       122     0     7     1     2
  7.3391968595024252E+01 a       123     0     7     1     3
  1.1152798148946049E+03 a       124     0     7     1     4
  3.2685427391725177E+01 a       125     0     7     1     5
 -1.7182998037866469E+02 a       126     0     7     1     6
  6.6397227659010952E+01 a       127     0     7     1     7
 -2.4410004841728721E+02 a       128     0     7     1     8
 -1.0682928287528423E+03 a       129     0     7     1     9
 -1.0918881603430902E+03 a       130     0     7     1    10
 -4.4576073738342239E+02 a       131     0     7     1    11
 -6.0062639304318373E+02 a       132     0     7     1    12
  2.5769966579892542E+02 a       133     0     7     1    13
  3.6611923383935554E+01 a       134     0     7     1    14
 -3.2152703838631527E+02 a       135     0     7     1    15
  1.2103769430954178E+03 a       136     0     7     1    16
 -8.6897801541842995E+01 a       137     0     7     1    17
 -5.0076966680935749E+02 a       138     0     7     1    18
 -1.8610566496122047E+02 a       139     0     7     1    19
 -4.4996099493233061E+02 a       140     0     7     1    20
  3.3097837187763105E+02 a       141     0     8     1     1
  5.5372957331975272E+01 a       142     0     8     1     2
  7.4297403094880998E+00 a       143     0     8     1     3
 -1.5914007803412412E+02 a       144     0     8     1     4
  3.4608343036016997E+01 a       145     0     8     1     5
  2.6155954653933222E+01 a       146     0     8     1     6
 -2.7628118190900782E+01 a       147     0     8     1     7
  2.4840218427226365E+01 a       148     0     8     1     8
 -6.0355593285750659E+00 a       149     0     8     1     9
 -1.2191482350952091E+02 a       150     0     8     1    10
 -7.2430396335335089E+01 a       151     0     8     1    11
  1.0109356853358557E+02 a       152     0     8     1    12
 -2.2135210881669934E+01 a       153     0     8     1    13
  3.4041144663577143E+01 a       154     0     8     1    14
 -2.4964104991818701E+00 a       155     0     8     1    15
  5.3952998596256670E+01 a       156     0     8     1    16
 -3.7295967051753124E+01 a       157     0     8     1    17
  4.7448075508379269E+01 a       158     0     8     1    18
  2.1226913049211550E+01 a       159     0     8     1    19
 -1.4778825399552831E+01 a       160     0     8     1    20
 -8.9416072096270534E+02 a       161     0     9     1     1
 -5.5536297078959336E+01 a       162     0     9     1     2
  1.1744452254433561E+02 a       163     0     9     1     3
 -3.8236183437664238E+02 a       164     0     9     1     4
  9.8968084866582899E+01 a       165     0     9     1     5
 -1.1389450050128109E+02 a       166     0     9     1     6
 -1.0324208322941188E+02 a       167     0     9     1     7
 -1.0282371656560612E+02 a       168     0     9     1     8
  4.1034003955716412E+02 a       169     0     9     1     9
  9.8207564520880624E+00 a       170     0     9     1    10
 -1.2802518645388616E+01 a       171     0     9     1    11
  2.7024745461486481E+02 a       172     0     9     1    12
 -2.1364916248725646E+02 a       173     0     9     1    13
 -5.3913833087613831E+01 a       174     0     9     1    14
 -2.7114678332434028E+02 a       175     0     9     1    15
 -1.2989970313917971E+02 a       176     0     9     1    16
  1.5783401472866555E+02 a       177     0     9     1    17
  1.4351830985013910E+02 a       178     0     9     1    18
 -8.7236499799013615E+01 a       179     0     9     1    19
 -3.6621567210692075E+02 a       180     0     9     1    20
 -9.2273859957213773E+00 a       181     0    10     1     1
  6.8769638971477534E+00 a       182     0    10     1     2
  2.9191253515123876E+01 a       183     0    10     1     3
 -5.8036437746545801E+01 a       184     0    10     1     4
  8.0665766676634945E+01 a       185     0    10     1     5
  1.1583016354959462E+01 a       186     0    10     1     6
  2.5076556685498758E+01 a       187     0    10     1     7
 -5.9011874753719196E-01 a       188     0    10     1     8
 -1.3323164973023349E+00 a       189     0    10     1     9
  3.9326556713031707E+01 a       190     0    10     1    10
 -4.8226904688001788E+01 a       191     0    10     1    11
  7.9297721648274004E+00 a       192     0    10     1    12
  4.0378371144127101E+00 a       193     0    10     1    13
  3.2819317704107149E+01 a       194     0    10     1    14
 -1.3719571474074334E+01 a       195     0    10     1    15
 -2.7477256744759508E+01 a       196     0    10     1    16
 -1.2776249326836240E+01 a       197     0    10     1    17
  3.3713138673241723E+01 a       198     0    10     1    18
  1.0930002132994733E+01 a       199     0    10     1    19
 -4.3818321974706834E+01 a       200     0    10     1    20
 -1.3053099419433245E+03 a       201     0    11     1     1
 -2.0100449861583490E+02 a       202     0    11     1     2
  9.5973270666690536E-01 a       203     0    11     1     3
 -3.7269256722271655E+02 a       204     0    11     1     4
 -9.1449107253606794E+00 a       205     0    11     1     5
  2.8682240680334914E+01 a       206     0    11     1     6
 -2.1715282948457855E+01 a       207     0    11     1     7
  7.5409120008538636E+01 a       208     0    11     1     8
  3.9504968578020680E+02 a       209     0    11     1     9
  3.7997617397637322E+02 a       210     0    11     1    10
  1.5030500380934146E+02 a       211     0    11     1    11
  1.8120920209200210E+02 a       212     0    11     1    12
 -9.6838729986379136E+01 a       213     0    11     1    13
 -2.0779088220618109E+00 a       214     0    11     1    14
  4.7852099938746022E+01 a       215     0    11     1    15
 -4.0769361417187190E+02 a       216     0    11     1    16
  5.6469531669281331E+01 a       217     0    11     1    17
  2.0034293238002815E+02 a       218     0    11     1    18
  5.8443968034344785E+01 a       219     0    11     1    19
  8.5676019519999329E+01 a       220     0    11     1    20
 -1.0153647502379229E+02 a       221     0    12     1     1
  1.1205696106493587E+01 a       222     0    12     1     2
  2.0498525401124294E+01 a       223     0    12     1     3
 -2.6010236444677584E+01 a       224     0    12     1     4
 -2.4864571195927020E+01 a       225     0    12     1     5
  3.1556828878914487E+01 a       226     0    12     1     6
 -5.0920065086635070E+01 a       227     0    12     1     7
  2.5724865061641790E+01 a       228     0    12     1     8
  2.4789881197169564E+01 a       229     0    12     1     9
  1.0202676225919895E+01 a       230     0    12     1    10
 -7.8776726379789608E+01 a       231     0    12     1    11
  8.2363542716972944E+01 a       232     0    12     1    12
 -3.0339646037419893E+01 a       233     0    12     1    13
 -3.8868278983468926E+01 a       234     0    12     1    14
  4.9899971473630949E+01 a       235     0    12     1    15
 -5.4531438220468445E+01 a       236     0    12     1    16
 -3.1743244143253019E+01 a       237     0    12     1    17
 -2.2790935372061810E+01 a       238     0    12     1    18
 -5.1392979410051076E+00 a       239     0    12     1    19
 -2.5233769031704231E+01 a       240     0    12     1    20
 -1.3631518961457687E+03 a       241     0    13     1     1
 -2.4365485367627176E+02 a       242     0    13     1     2
  6.0262854905129700E+01 a       243     0    13     1     3
 -3.3214419028965256E+02 a       244     0    13     1     4
 -1.8720650276292719E+02 a       245     0    13     1     5
  1.1901521673814003E+02 a       246     0    13     1     6
 -1.3660957488032794E+01 a       247     0    13     1     7
  1.4942139426716665E+02 a       248     0    13     1     8
  4.6499435689813208E+02 a       249     0    13     1     9
  5.9384109866180415E+02 a       250     0    13     1    10
  2.8058124875470986E+02 a       251     0    13     1    11
  1.8048302459156599E+02 a       252     0    13     1    12
 -2.1269398159187840E+01 a       253     0    13     1    13
 -2.8612969476087372E+01 a       254     0    13     1    14
  1.6368082904222084E+02 a       255     0    13     1    15
 -5.9215465253812420E+02 a       256     0    13     1    16
 -5.2709224607933656E+01 a       257     0    13     1    17
  2.0391269891762079E+02 a       258     0    13     1    18
  1.4810575393692793E+02 a       259     0    13     1    19
  3.0961431118226903E+02 a       260     0    13     1    20
 -1.4738046471476747E+02 a       261     0    14     1     1
 -9.3085683560147494E+00 a       262     0    14     1     2
  6.6128473232860205E+00 a       263     0    14     1     3
  6.9438222983119005E+01 a       264     0    14     1     4
 -3.9190316827575550E+01 a       265     0    14     1     5
 -1.4783616097438852E+01 a       266     0    14     1     6
 -1.0324575102016702E+01 a       267     0    14     1     7
 -2.6496750806005540E+00 a       268     0    14     1     8
  3.9391012814875412E+00 a       269     0    14     1     9
  3.5215147163903147E+01 a       270     0    14     1    10
  3.9570420094739809E+01 a       271     0    14     1    11
 -2.4604740892973275E+01 a       272     0    14     1    12
 -6.5439686852676724E+00 a       273     0    14     1    13
 -2.7158733474550832E+01 a       274     0    14     1    14
  1.5065623005783630E+01 a       275     0    14     1    15
 -1.6197752758123137E+01 a       276     0    14     1    16
  1.4873040715607747E+01 a       277     0    14     1    17
 -2.5522473335640317E+01 a       278     0    14     1    18
 -3.0580993416838567E+00 a       279     0    14     1    19
  1.4064005910254254E+01 a       280     0    14     1    20
  2.0695218301712742E+01 a       281     0    15     1     1
  8.0461223830361472E+00 a       282     0    15     1     2
  1.4744281404964483E+00 a       283     0    15     1     3
 -1.6422353189472098E+01 a       284     0    15     1     4
 -8.6073469836230938E+00 a       285     0    15     1     5
  6.5938183696286350E+00 a       286     0    15     1     6
 -7.2322817334763689E+00 a       287     0    15     1     7
  2.3818510199997251E+00 a       288     0    15     1     8
  1.4879213519640215E+01 a       289     0    15     1     9
  9.1863323113066571E+00 a       290     0    15     1    10
