################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         35   3.2409258352156909E-13   1.0883824730315609E+01   2.7184478668810259E+00   1.8820542060689074E+00
         1         36   0.0000000000000000E+00   5.0035707508799190E+00   6.3165790133394240E-01   4.6176754980807350E-01
         1         37   0.0000000000000000E+00   1.6675179219567238E+00   4.0260934943235127E-02   1.2179155524445207E-01
         1         38   4.9034278323674205E-05   6.8480981201006841E+01   1.4857986920676719E+01   1.0139158329351053E+01
         1         39   0.0000000000000000E+00   1.8193912869547006E+01   3.1405886754459429E+00   1.6069099038572852E+00
         1         40   0.0000000000000000E+00   9.2138915005237134E+00   1.1409160997970789E+00   8.0890335621364517E-01
         1         41   9.3674557012600938E-07   4.0418367791631233E+01   8.0944700989126339E+00   5.8208904702811060E+00
         1         42   0.0000000000000000E+00   1.5242447449070120E+01   2.9335665323624980E+00   1.5611830178142543E+00
         1         43   0.0000000000000000E+00   6.6251996972791094E+00   4.7164201298022068E-01   5.7288825373012442E-01
         1         44   4.5484293320502287E-05   1.0112755646819390E+02   2.0564654517657182E+01   1.4434447325081155E+01
         1         45   0.0000000000000000E+00   3.1386749704877609E+01   5.7356430784105896E+00   2.8646420152414360E+00
         1         46   0.0000000000000000E+00   1.4520062580164931E+01   1.6258964212600693E+00   1.3026077392889963E+00
         1         47   2.0860655801350422E-13   9.4964717774727330E+00   2.3108087169949538E+00   1.6000635167341402E+00
         1         48   0.0000000000000000E+00   4.2833865494321026E+00   5.1535601705904743E-01   3.8477610178569610E-01
         1         49   0.0000000000000000E+00   1.4227263938963004E+00   3.2454786007074875E-02   1.0049083705359603E-01
         1         50   2.8373732154778659E-05   5.6361414205700271E+01   1.2657873067228353E+01   8.5437993856283843E+00
         1         51   0.0000000000000000E+00   1.5067091115000702E+01   2.5481296513983192E+00   1.3300381977790416E+00
         1         52   0.0000000000000000E+00   7.5664562359981833E+00   8.8706063606312924E-01   6.4284724611888322E-01
         2          1   0.0000000000000000E+00   1.5520259991758586E+01   1.5846474470863265E+00   2.2079175101811250E+00
         2          2   1.2552808628288259E-02   1.4082431775364432E+01   6.8461752413280168E+00   1.4625764111781798E+00
         2          3   0.0000000000000000E+00   1.1159865998016938E+01   1.0614957711877799E+00   1.5405753780545570E+00
         2          4   4.0473890209215017E-03   1.0005094166008654E+01   4.7627350682510796E+00   1.0458575633264802E+00
         2          5   0.0000000000000000E+00   7.9936898739242102E+00   7.1169642579812775E-01   1.0736990081116029E+00
         2          6   1.1523913901510757E-03   7.1005927237492035E+00   3.2812221038409541E+00   7.4469329610241197E-01
         2          7   0.0000000000000000E+00   3.8586985212884226E+00   2.6346812327236641E-01   4.3332935572480058E-01
         2          8   2.6834441137053421E-05   2.9624812816278352E+00   1.1970309473775425E+00   3.0418740280263717E-01
         2          9   0.0000000000000000E+00   1.0240559583235092E+01   8.8055914553336878E-01   1.3618933049457644E+00
         2         10   4.9088414604865507E-04   9.0297924096819493E+00   4.2128437143438076E+00   9.6871232839022037E-01
         2         11   0.0000000000000000E+00   1.6099381178905277E+00   7.2978366169251394E-02   1.3368415681429074E-01
         2         12   5.2428449783684894E-08   9.2618454621743140E-01   2.5788024286109534E-01   8.1494452344551452E-02
         2         13   0.0000000000000000E+00   7.8977118737325913E+00   5.9049281315590152E-01   9.6986069913453143E-01
         2         14   1.7259454885897259E-05   6.6033206015757298E+00   2.8642183577848068E+00   7.1729303093585295E-01
         2         15   0.0000000000000000E+00   4.8998722294231734E-01   9.3924507259338288E-03   2.2189947861409223E-02
         2         16   2.2045585935368196E-13   1.3638965128672501E-01   1.4168418170332060E-02   7.6082835087922492E-03
         2         17   0.0000000000000000E+00   6.3681480529396008E+00   3.5534112746456109E-01   6.2711566195865820E-01
         2         18   2.2543612851357622E-08   4.4350213858907050E+00   1.4905868545230587E+00   4.4726336658114613E-01
         2         19   0.0000000000000000E+00   4.5865705348204120E+00   1.5197404755591065E-01   3.1390638748319022E-01
         2         20   7.0068133997831107E-17   2.3070947312823362E+00   2.6782715220468695E-01   1.4605347366711996E-01
         2         21   0.0000000000000000E+00   3.6130113561201842E+00   7.3712099483289120E-02   1.9028199123475875E-01
