################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.6822972714896841E+02 a         1     0     1     1     1
  7.4405488101443666E+01 a         2     0     1     1     2
 -3.5513447089102172E+01 a         3     0     1     1     3
 -8.5066952292764782E+01 a         4     0     1     1     4
 -3.0995780291935102E+01 a         5     0     1     1     5
 -1.5619236681352242E+00 a         6     0     1     1     6
 -1.5105697582116049E+01 a         7     0     1     1     7
 -9.4212189485856324E-01 a         8     0     1     1     8
  1.2121459830534118E+01 a         9     0     1     1     9
  1.0309748491977011E+02 a        10     0     1     1    10
  1.7114153350571198E+02 a        11     0     1     1    11
  1.4559524910011069E+02 a        12     0     1     1    12
 -3.5951841435329577E+01 a        13     0     1     1    13
  2.7406705482119364E+01 a        14     0     1     1    14
  6.6708348820337505E+01 a        15     0     1     1    15
 -2.8582576732897962E+01 a        16     0     1     1    16
 -5.2804900038077891E+00 a        17     0     1     1    17
  3.9078802427900833E+01 a        18     0     1     1    18
  4.2257319838180308E+01 a        19     0     1     1    19
  6.7557145821754645E+01 a        20     0     1     1    20
 -6.1132589542635579E+01 a        21     0     2     1     1
  5.8736963721828683E+00 a        22     0     2     1     2
  9.8431190914138735E+00 a        23     0     2     1     3
  8.3465572297827517E+00 a        24     0     2     1     4
  7.4941448065472954E+01 a        25     0     2     1     5
  4.1134010694260198E+01 a        26     0     2     1     6
 -3.5016392612168403E+01 a        27     0     2     1     7
 -5.0744282286642379E+00 a        28     0     2     1     8
  3.8415281944143640E+00 a        29     0     2     1     9
 -1.1118252466107340E+02 a        30     0     2     1    10
  1.7307220321238184E+01 a        31     0     2     1    11
  7.1376666780548135E+01 a        32     0     2     1    12
 -3.5920923255853246E+01 a        33     0     2     1    13
 -1.0514405207806023E+02 a        34     0     2     1    14
  5.4891828650600679E+01 a        35     0     2     1    15
 -3.7155598210354214E+01 a        36     0     2     1    16
 -2.4154266010745935E+01 a        37     0     2     1    17
  3.6306478612573677E+01 a        38     0     2     1    18
 -5.8205033344382649E+01 a        39     0     2     1    19
 -2.1353860804505285E+01 a        40     0     2     1    20
  3.3496946853703395E+02 a        41     0     3     1     1
 -1.9442990803302305E+02 a        42     0     3     1     2
  1.0956941956597305E+02 a        43     0     3     1     3
  2.0913095673833698E+02 a        44     0     3     1     4
  9.3554812574449841E+01 a        45     0     3     1     5
 -2.2154635711247980E+01 a        46     0     3     1     6
 -3.9452041288529571E+01 a        47     0     3     1     7
 -4.1155674042102405E+01 a        48     0     3     1     8
  4.3542380272286223E+01 a        49     0     3     1     9
 -2.0166094538866477E+02 a        50     0     3     1    10
 -2.1706921263438747E+02 a        51     0     3     1    11
 -2.8863204367825500E+02 a        52     0     3     1    12
  1.9891139654832799E+01 a        53     0     3     1    13
 -3.4780349617329797E+01 a        54     0     3     1    14
 -1.4082649204034075E+02 a        55     0     3     1    15
  4.8167710295551004E+01 a        56     0     3     1    16
 -1.8418355601591216E+01 a        57     0     3     1    17
 -2.9708687884577166E+01 a        58     0     3     1    18
 -3.8430020768687157E+01 a        59     0     3     1    19
 -1.1510847438091005E+02 a        60     0     3     1    20
  1.3651388977982162E+02 a        61     0     4     1     1
 -2.1207420162673849E+01 a        62     0     4     1     2
 -4.0479193065198757E+01 a        63     0     4     1     3
  1.0497600260844511E+01 a        64     0     4     1     4
 -1.3870094446101501E+02 a        65     0     4     1     5
 -1.0861575360583628E+02 a        66     0     4     1     6
  1.2584491386174727E+02 a        67     0     4     1     7
 -3.3245436114611159E+01 a        68     0     4     1     8
  3.2687938979436218E+01 a        69     0     4     1     9
  2.2774147492520513E+02 a        70     0     4     1    10
  2.3618187239048332E+01 a        71     0     4     1    11
 -1.4387047063045085E+02 a        72     0     4     1    12
  1.3335360170918563E+02 a        73     0     4     1    13
  2.2485334857445841E+02 a        74     0     4     1    14
 -2.1630631012460532E+02 a        75     0     4     1    15
  5.3905992300271294E+01 a        76     0     4     1    16
  4.9791683253551000E+01 a        77     0     4     1    17
 -1.2873454800458637E+02 a        78     0     4     1    18
  1.3968749757543034E+02 a        79     0     4     1    19
  1.1703290142294010E+02 a        80     0     4     1    20
  6.1909131207142600E+01 a        81     0     5     1     1
  5.1513695284537832E+01 a        82     0     5     1     2
 -5.9323801409283433E+01 a        83     0     5     1     3
  3.8864964846488924E+01 a        84     0     5     1     4
 -2.0315235965530011E+01 a        85     0     5     1     5
  5.8416316712478107E+01 a        86     0     5     1     6
  1.2183932167673719E+01 a        87     0     5     1     7
  9.4897020788451929E+00 a        88     0     5     1     8
 -2.0180607635686198E+02 a        89     0     5     1     9
 -3.8351781398826070E+01 a        90     0     5     1    10
 -1.9601544283407583E+02 a        91     0     5     1    11
 -3.2317608992085077E+01 a        92     0     5     1    12
  2.9787153943475694E+01 a        93     0     5     1    13
 -1.0331664108541781E+02 a        94     0     5     1    14
  2.5403640993555261E+01 a        95     0     5     1    15
  6.3928201793768899E+01 a        96     0     5     1    16
  4.0627394819834542E+01 a        97     0     5     1    17
 -8.7114002975796737E+01 a        98     0     5     1    18
 -3.1582729151318908E+01 a        99     0     5     1    19
  3.0208015745097793E+01 a       100     0     5     1    20
 -1.1047028267231394E+01 a       101     0     6     1     1
  2.2869876176475991E+01 a       102     0     6     1     2
  7.2582140793907698E+01 a       103     0     6     1     3
 -4.0248642045517904E+01 a       104     0     6     1     4
  4.9112353877249973E+01 a       105     0     6     1     5
  7.4241822273386489E+01 a       106     0     6     1     6
 -2.1226150347312543E+02 a       107     0     6     1     7
  9.5222510292905739E+01 a       108     0     6     1     8
 -1.3886485104061421E+02 a       109     0     6     1     9
  5.0240777732531697E+01 a       110     0     6     1    10
 -1.2373072076519969E+02 a       111     0     6     1    11
 -2.5412339154606528E+01 a       112     0     6     1    12
 -1.0154844519587446E+02 a       113     0     6     1    13
 -3.8696229353963176E+01 a       114     0     6     1    14
  1.8710845215502638E+02 a       115     0     6     1    15
  8.3691626672217694E+01 a       116     0     6     1    16
  1.0663025302278557E+01 a       117     0     6     1    17
  1.1918879568953389E+02 a       118     0     6     1    18
 -3.8815068461247435E+01 a       119     0     6     1    19
 -1.1883252781187907E+02 a       120     0     6     1    20
 -5.3846063319650789E+01 a       121     0     7     1     1
 -2.5412790571671049E+01 a       122     0     7     1     2
  5.9531492934067494E+01 a       123     0     7     1     3
 -1.9037900956947400E+01 a       124     0     7     1     4
  1.6723414806731611E+01 a       125     0     7     1     5
 -4.3645086737520977E+01 a       126     0     7     1     6
  8.3752640186409870E+00 a       127     0     7     1     7
  3.0375132354253447E+00 a       128     0     7     1     8
  1.9755206328270742E+02 a       129     0     7     1     9
  3.5634162866031566E+01 a       130     0     7     1    10
  1.1013063698128620E+02 a       131     0     7     1    11
  3.6298752893508528E+01 a       132     0     7     1    12
 -5.0529354776087327E+00 a       133     0     7     1    13
  6.2368217325458978E+01 a       134     0     7     1    14
 -2.9065243909262684E+01 a       135     0     7     1    15
 -3.9620838981465035E+01 a       136     0     7     1    16
 -1.8761393254599877E+01 a       137     0     7     1    17
  8.3079916463752483E+01 a       138     0     7     1    18
  3.4702939141803277E+00 a       139     0     7     1    19
 -3.4617089176631914E+01 a       140     0     7     1    20
  1.7477950067117124E+01 a       141     0     8     1     1
 -7.4494249866091398E+00 a       142     0     8     1     2
 -6.6560154408980992E+01 a       143     0     8     1     3
  1.4753816812861040E-01 a       144     0     8     1     4
 -3.1307558049976301E+01 a       145     0     8     1     5
 -5.9297965744902193E+01 a       146     0     8     1     6
  1.1213586476751065E+02 a       147     0     8     1     7
 -5.2125569099279787E+01 a       148     0     8     1     8
  7.5734675029461854E+01 a       149     0     8     1     9
 -2.2571137314058976E+01 a       150     0     8     1    10
  6.9385320334163197E+01 a       151     0     8     1    11
  6.6468100259899643E+00 a       152     0     8     1    12
  3.2482781635439956E+01 a       153     0     8     1    13
  3.1037543161705056E+01 a       154     0     8     1    14
 -1.0449195813776534E+02 a       155     0     8     1    15
 -4.2612505578851291E+01 a       156     0     8     1    16
  4.2965370344794875E+00 a       157     0     8     1    17
 -6.2912405181053991E+01 a       158     0     8     1    18
  4.6916588057520219E+00 a       159     0     8     1    19
  7.4391535203914103E+01 a       160     0     8     1    20
 -3.0884526630427325E+02 a       161     0     9     1     1
  1.5682703588909652E+02 a       162     0     9     1     2
 -8.0035806111936395E+01 a       163     0     9     1     3
 -2.5738821146929899E+02 a       164     0     9     1     4
 -9.5094501298605863E+01 a       165     0     9     1     5
 -2.9660442863415660E+01 a       166     0     9     1     6
  9.5175298852161021E+01 a       167     0     9     1     7
