################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.4982537946703701E+01 a       117     0     6     1    17
 -2.1717628480086024E+01 a       118     0     6     1    18
  1.0761531400407536E+02 a       119     0     6     1    19
  7.2846755250126549E+01 a       120     0     6     1    20
  6.5878570584561749E+02 a       121     0     7     1     1
  2.3363839133005504E+03 a       122     0     7     1     2
  9.4928147258015417E+02 a       123     0     7     1     3
 -4.9687878104170856E+01 a       124     0     7     1     4
  7.7238361669861979E+02 a       125     0     7     1     5
  8.8017822227653221E+02 a       126     0     7     1     6
  1.2825170123833550E+02 a       127     0     7     1     7
  3.3842642859611846E+02 a       128     0     7     1     8
  6.5987886421330927E+01 a       129     0     7     1     9
 -1.8502407757090864E+02 a       130     0     7     1    10
 -7.0721286358460691E+02 a       131     0     7     1    11
 -6.9475023716649162E+02 a       132     0     7     1    12
  6.7074728876258632E+01 a       133     0     7     1    13
 -8.8367924181892772E+02 a       134     0     7     1    14
 -3.4425782573908327E+02 a       135     0     7     1    15
 -1.7827453542254016E+03 a       136     0     7     1    16
  1.2901147394061948E+02 a       137     0     7     1    17
  3.3377262841425397E+02 a       138     0     7     1    18
 -2.1748141647526309E+03 a       139     0     7     1    19
  2.3181555594610049E+02 a       140     0     7     1    20
 -3.3282118656115379E+01 a       141     0     8     1     1
  6.9599739086042689E+01 a       142     0     8     1     2
  7.5711791075613718E+01 a       143     0     8     1     3
  3.1763181652824649E+01 a       144     0     8     1     4
  1.2610645249429858E+01 a       145     0     8     1     5
  1.3543484044687088E+02 a       146     0     8     1     6
 -1.6331328718335079E+01 a       147     0     8     1     7
  8.5396043564377962E+01 a       148     0     8     1     8
 -8.9254837826736861E+01 a       149     0     8     1     9
 -9.8343651446760674E+01 a       150     0     8     1    10
  1.6049117996809645E+01 a       151     0     8     1    11
  7.0751735445344195E+01 a       152     0     8     1    12
  9.8449462753909209E+00 a       153     0     8     1    13
  1.0503155812338782E+02 a       154     0     8     1    14
  1.8271299890778786E+02 a       155     0     8     1    15
 -3.9187197596875912E+01 a       156     0     8     1    16
 -3.9642107956086477E+01 a       157     0     8     1    17
  5.9947453864061806E+01 a       158     0     8     1    18
 -1.2471532387947956E+02 a       159     0     8     1    19
 -3.5883241141145596E+01 a       160     0     8     1    20
 -1.6062333154854562E+02 a       161     0     9     1     1
 -2.0369755516380178E+02 a       162     0     9     1     2
 -8.3149376703666590E+01 a       163     0     9     1     3
 -8.8051467837751161E+01 a       164     0     9     1     4
 -3.3415809701429606E+02 a       165     0     9     1     5
 -2.3027199230955091E+02 a       166     0     9     1     6
 -1.0623463133729044E+02 a       167     0     9     1     7
  3.1789782575585608E+01 a       168     0     9     1     8
 -5.2752478557034287E+01 a       169     0     9     1     9
  3.0122521237428799E+01 a       170     0     9     1    10
  2.9576078024048837E+02 a       171     0     9     1    11
  1.4011132624479853E+02 a       172     0     9     1    12
  1.1386774732725598E+02 a       173     0     9     1    13
  4.0636913166886671E+02 a       174     0     9     1    14
 -6.1997002854166176E+01 a       175     0     9     1    15
  6.7125804107909562E+02 a       176     0     9     1    16
 -1.4729187248169325E+02 a       177     0     9     1    17
  1.1102938595155508E+02 a       178     0     9     1    18
  8.4120337805825886E+02 a       179     0     9     1    19
 -3.8156186666210863E+02 a       180     0     9     1    20
  6.4965562339835259E+01 a       181     0    10     1     1
  1.1903385923981354E+01 a       182     0    10     1     2
  4.8464155049533801E+01 a       183     0    10     1     3
  1.1993430572253853E+02 a       184     0    10     1     4
  9.5706714383608031E+01 a       185     0    10     1     5
 -6.9049858927048060E+00 a       186     0    10     1     6
  1.7753566435760927E+01 a       187     0    10     1     7
  6.0227061792949058E+01 a       188     0    10     1     8
  3.2499871592625347E+01 a       189     0    10     1     9
 -7.2656537222725262E+01 a       190     0    10     1    10
  8.8093968621807779E+00 a       191     0    10     1    11
  5.2243343552819063E+01 a       192     0    10     1    12
  3.0429547751991585E+01 a       193     0    10     1    13
  1.3679620170988166E+01 a       194     0    10     1    14
  1.4184762720036181E+02 a       195     0    10     1    15
 -4.4244390119878453E+01 a       196     0    10     1    16
 -4.5645634034271652E+01 a       197     0    10     1    17
 -1.4837563820160466E+02 a       198     0    10     1    18
  2.9569145851725942E+01 a       199     0    10     1    19
  1.6878382895308981E+00 a       200     0    10     1    20
 -1.8417317864650278E+02 a       201     0    11     1     1
 -7.9287502436823843E+02 a       202     0    11     1     2
 -3.3251913760917142E+02 a       203     0    11     1     3
  4.4445594964248755E+01 a       204     0    11     1     4
 -2.8028251540039315E+02 a       205     0    11     1     5
 -3.8850916556869561E+02 a       206     0    11     1     6
 -3.7145235159291495E+01 a       207     0    11     1     7
 -1.3176609548894652E+02 a       208     0    11     1     8
 -5.2564557350442920E-01 a       209     0    11     1     9
  4.1591073774833973E+01 a       210     0    11     1    10
  2.6186687443773098E+02 a       211     0    11     1    11
  2.4606345656375018E+02 a       212     0    11     1    12
 -4.1532208723794326E+01 a       213     0    11     1    13
  3.1987027859316254E+02 a       214     0    11     1    14
  1.0727449731559147E+02 a       215     0    11     1    15
  6.2733680347113261E+02 a       216     0    11     1    16
 -7.4485300559733346E+01 a       217     0    11     1    17
 -8.2993083825056686E+01 a       218     0    11     1    18
  7.7470962391933506E+02 a       219     0    11     1    19
 -9.8438397795516309E+01 a       220     0    11     1    20
  4.6391488178372477E+01 a       221     0    12     1     1
 -8.3112057572978841E+01 a       222     0    12     1     2
  7.9111558846578411E+00 a       223     0    12     1     3
 -7.9619097295406345E+00 a       224     0    12     1     4
 -4.6159323306877539E+01 a       225     0    12     1     5
 -6.4452881409039804E+01 a       226     0    12     1     6
 -8.3966396778052285E+01 a       227     0    12     1     7
 -2.0867634610275847E+01 a       228     0    12     1     8
 -1.0841293575809627E+02 a       229     0    12     1     9
  6.3734562622202739E+00 a       230     0    12     1    10
 -1.6408841288544536E+01 a       231     0    12     1    11
 -1.1222078496735641E+01 a       232     0    12     1    12
  6.0529773517433995E+01 a       233     0    12     1    13
  5.7235812253726131E+01 a       234     0    12     1    14
 -5.0490333153344992E+01 a       235     0    12     1    15
  3.6540595865137973E+01 a       236     0    12     1    16
 -2.9056961045505002E+01 a       237     0    12     1    17
  2.0702196487573596E+02 a       238     0    12     1    18
 -2.1760999072701948E+00 a       239     0    12     1    19
 -4.0799738638616944E+01 a       240     0    12     1    20
 -2.6284227338418293E+02 a       241     0    13     1     1
 -1.1497510932522448E+03 a       242     0    13     1     2
 -3.9228351573066828E+02 a       243     0    13     1     3
  1.3523898927165550E+02 a       244     0    13     1     4
 -2.4199937777686631E+02 a       245     0    13     1     5
 -4.4629761566055919E+02 a       246     0    13     1     6
  7.1660284595442354E+00 a       247     0    13     1     7
 -2.5379523740571642E+02 a       248     0    13     1     8
  2.3031429679151216E+01 a       249     0    13     1     9
  1.7229954258273416E+01 a       250     0    13     1    10
  3.0145715164669309E+02 a       251     0    13     1    11
  3.8729942818386496E+02 a       252     0    13     1    12
 -6.0447731463074476E+01 a       253     0    13     1    13
  3.1953942736663402E+02 a       254     0    13     1    14
  2.5279105905387431E+02 a       255     0    13     1    15
  7.5544205799937322E+02 a       256     0    13     1    16
  3.5604775725940911E+01 a       257     0    13     1    17
 -3.1090829157358388E+02 a       258     0    13     1    18
  9.3069259690363356E+02 a       259     0    13     1    19
  2.0561902600223700E+01 a       260     0    13     1    20
 -1.9495069781759288E+01 a       261     0    14     1     1
 -3.4550061968417971E+01 a       262     0    14     1     2
 -4.0813498109953201E+01 a       263     0    14     1     3
 -8.3218984379023382E+01 a       264     0    14     1     4
 -3.8120611188911838E+01 a       265     0    14     1     5
 -2.2705596383323972E+01 a       266     0    14     1     6
 -8.0728089425094360E+00 a       267     0    14     1     7
 -3.2886705961596881E+01 a       268     0    14     1     8
  1.8311449497755159E+01 a       269     0    14     1     9
  4.8651037468453680E+01 a       270     0    14     1    10
 -1.7814795609572144E+01 a       271     0    14     1    11
 -4.6352100353300514E+01 a       272     0    14     1    12
 -1.0987543973380685E+01 a       273     0    14     1    13
 -2.4255018630880510E+01 a       274     0    14     1    14
 -1.0215615097004071E+02 a       275     0    14     1    15
  2.7382422248290034E+01 a       276     0    14     1    16
  1.5641847721766478E+01 a       277     0    14     1    17
  4.9536017517721831E+01 a       278     0    14     1    18
  3.1902649109219929E+01 a       279     0    14     1    19
  1.7065820270809124E+00 a       280     0    14     1    20
 -2.0936570920772606E+01 a       281     0    15     1     1
  1.1676941741684010E+00 a       282     0    15     1     2
  8.8537600635357094E+00 a       283     0    15     1     3
 -1.6532081437240798E+01 a       284     0    15     1     4
  4.6444545797634280E+00 a       285     0    15     1     5
  3.2094933687644563E+01 a       286     0    15     1     6
 -1.4088785408064612E+00 a       287     0    15     1     7
  5.7494333209655517E+00 a       288     0    15     1     8
 -8.2074830002230943E+00 a       289     0    15     1     9
  3.1313697745641429E+00 a       290     0    15     1    10
  3.4695630704625438E+00 a       291     0    15     1    11
 -8.5962236011117055E-01 a       292     0    15     1    12
  1.4017947430956230E+01 a       293     0    15     1    13
 -4.4735583278270791E-01 a       294     0    15     1    14
  3.1227115492957704E+00 a       295     0    15     1    15
  7.5658706534307498E+00 a       296     0    15     1    16
  9.6363615799031201E+00 a       297     0    15     1    17
 -1.3446434022596204E+01 a       298     0    15     1    18
  8.9357722543522815E+00 a       299     0    15     1    19
  3.1647112600434674E-01 a       300     0    15     1    20
 -9.3109558626962663E+00 a       301     0    16     1     1
  1.6767142902363016E+01 a       302     0    16     1     2
 -5.1853290104592924E+00 a       303     0    16     1     3
  1.1218556424797639E+00 a       304     0    16     1     4
  1.2512184025765958E+01 a       305     0    16     1     5
  8.8176325998530505E+00 a       306     0    16     1     6
  2.2414803616256734E+01 a       307     0    16     1     7
  2.1453417018992003E+00 a       308     0    16     1     8
  3.3099872353190335E+01 a       309     0    16     1     9
  3.2969941338357889E+00 a       310     0    16     1    10
  3.1849452504310851E+00 a       311     0    16     1    11
 -5.8696888008600634E-01 a       312     0    16     1    12
 -1.4985315186796619E+01 a       313     0    16     1    13
 -2.0151556592071014E+01 a       314     0    16     1    14
  4.2400762781398278E+00 a       315     0    16     1    15
 -7.8031227383516155E+00 a       316     0    16     1    16
  8.8553790534278605E+00 a       317     0    16     1    17
 -5.7974414545965445E+01 a       318     0    16     1    18
  8.5967113793833043E+00 a       319     0    16     1    19
  1.2525699315033558E+01 a       320     0    16     1    20
 -5.7600795746004792E+01 a       321     0    17     1     1
 -2.3126905019905138E+01 a       322     0    17     1     2
 -3.8871892872342386E+01 a       323     0    17     1     3
 -6.7932731978438213E+01 a       324     0    17     1     4
 -3.5302090351490428E+01 a       325     0    17     1     5
  5.6219608713434567E+01 a       326     0    17     1     6
 -5.2427846786534715E+01 a       327     0    17     1     7
  1.9797209517120983E+01 a       328     0    17     1     8
 -2.5004758199112175E+01 a       329     0    17     1     9
  3.8925787989949875E+01 a       330     0    17     1    10
  3.0244924146014416E+01 a       331     0    17     1    11
 -2.3552654083028930E+01 a       332     0    17     1    12
  2.9636163883339883E+01 a       333     0    17     1    13
  2.3213063844384056E+01 a       334     0    17     1    14
 -2.8939574167674433E+01 a       335     0    17     1    15
  4.3144365764793406E+01 a       336     0    17     1    16
 -2.3075293998968043E+01 a       337     0    17     1    17
  4.2574979746622191E+01 a       338     0    17     1    18
  6.0683960685390687E+01 a       339     0    17     1    19
 -2.2378729844125274E+01 a       340     0    17     1    20
 -1.3424058702223620E+01 a       341     0    18     1     1
  4.2169689491256840E+01 a       342     0    18     1     2
 -7.2347790939691228E+00 a       343     0    18     1     3
  2.9295388707734961E+01 a       344     0    18     1     4
  4.0396841321216556E+01 a       345     0    18     1     5
  1.0861545901959762E+01 a       346     0    18     1     6
  6.4106365642728989E+01 a       347     0    18     1     7
  3.9993309274466444E+00 a       348     0    18     1     8
  8.6326316321368211E+01 a       349     0    18     1     9
  8.5505299783299318E+00 a       350     0    18     1    10
  1.7153420948945254E+01 a       351     0    18     1    11
  3.7741235971465024E+00 a       352     0    18     1    12
 -3.9421441347501194E+01 a       353     0    18     1    13
 -5.9341680672505042E+01 a       354     0    18     1    14
  1.8595701284872288E+01 a       355     0    18     1    15
 -2.3664907642053159E+01 a       356     0    18     1    16
  2.9383896710490003E+01 a       357     0    18     1    17
 -1.6821580664272690E+02 a       358     0    18     1    18
  3.3077456428130382E+01 a       359     0    18     1    19
  3.6671716060948832E+01 a       360     0    18     1    20
 -3.2353143658102468E-01 a       361     0    19     1     1
  3.7653304430047352E-01 a       362     0    19     1     2
  1.3774120732146841E+01 a       363     0    19     1     3
  1.2124794837519127E+01 a       364     0    19     1     4
  2.2053493901879573E+01 a       365     0    19     1     5
 -7.6534205805449789E+00 a       366     0    19     1     6
  2.8318215741376523E+01 a       367     0    19     1     7
  1.3215408196219955E+00 a       368     0    19     1     8
 -2.4686711864584954E+00 a       369     0    19     1     9
 -1.3809745881432528E+01 a       370     0    19     1    10
 -9.6927883899292553E+00 a       371     0    19     1    11
  1.6128280404029894E+01 a       372     0    19     1    12
 -4.0775843802796743E+00 a       373     0    19     1    13
  3.1417288846904201E+00 a       374     0    19     1    14
  5.9070200884923763E+00 a       375     0    19     1    15
  6.1123184135037274E+00 a       376     0    19     1    16
  4.7413941696417510E+00 a       377     0    19     1    17
 -1.6208948635407538E+01 a       378     0    19     1    18
 -3.6019563378275837E-01 a       379     0    19     1    19
 -6.1962710725483614E+00 a       380     0    19     1    20
 -6.8554301400990498E+00 a       381     0    20     1     1
  6.2398682631678142E+00 a       382     0    20     1     2
 -5.5353147807977283E+00 a       383     0    20     1     3
 -5.6806441279715143E+00 a       384     0    20     1     4
  3.2352410105694576E+00 a       385     0    20     1     5
  4.8241732046744490E+00 a       386     0    20     1     6
  8.1293489271082038E+00 a       387     0    20     1     7
 -5.5016120660873213E-01 a       388     0    20     1     8
  1.5898605864293520E+01 a       389     0    20     1     9
  2.8219487263569700E+00 a       390     0    20     1    10
 -1.8793716986988900E+00 a       391     0    20     1    11
 -1.5880565908677202E+00 a       392     0    20     1    12
 -5.4339129694098025E+00 a       393     0    20     1    13
 -6.1443994534693323E+00 a       394     0    20     1    14
 -5.7883887342049090E-01 a       395     0    20     1    15
 -2.2852436515063155E+00 a       396     0    20     1    16
 -1.3417866824998650E-01 a       397     0    20     1    17
 -2.1639147752497184E+01 a       398     0    20     1    18
  1.7726549321024097E+00 a       399     0    20     1    19
  2.9794009770149805E+00 a       400     0    20     1    20
 -1.2342548060829266E+00 a       401     0    21     1     1
 -2.0694848726722697E+00 a       402     0    21     1     2
 -3.7585859869542584E+00 a       403     0    21     1     3
 -4.0136125477668427E+00 a       404     0    21     1     4
 -7.8413919388150175E+00 a       405     0    21     1     5
  4.8698178458080106E+00 a       406     0    21     1     6
 -1.1149118106121401E+01 a       407     0    21     1     7
 -1.0983171050642668E+00 a       408     0    21     1     8
 -1.8343847893005982E+00 a       409     0    21     1     9
  6.8039392237762426E+00 a       410     0    21     1    10
  4.5278402261199382E+00 a       411     0    21     1    11
 -5.0686108301403241E+00 a       412     0    21     1    12
  5.6940984936371271E+00 a       413     0    21     1    13
 -7.2003491875473880E-01 a       414     0    21     1    14
 -1.7923354053967092E-01 a       415     0    21     1    15
 -1.0924938810259939E+00 a       416     0    21     1    16
  1.2658949559934434E+00 a       417     0    21     1    17
  2.2884147727616817E+00 a       418     0    21     1    18
  1.1290780471960182E+00 a       419     0    21     1    19
  1.9477929407890482E+00 a       420     0    21     1    20
 -2.2935069738173511E-01 a       421     0    22     1     1
  1.4553927507299638E+00 a       422     0    22     1     2
  6.9794398414854542E-01 a       423     0    22     1     3
  1.1534421466153151E+00 a       424     0    22     1     4
  9.1576176249531838E-01 a       425     0    22     1     5
  9.3661409255566574E-01 a       426     0    22     1     6
  1.6298212898749171E+00 a       427     0    22     1     7
  6.9548366003608486E-01 a       428     0    22     1     8
  6.4809502661132035E-01 a       429     0    22     1     9
 -1.7323993645881283E-01 a       430     0    22     1    10
  1.5056078390823733E+00 a       431     0    22     1    11
  1.4118643760173374E-01 a       432     0    22     1    12
 -2.5578931649578474E+00 a       433     0    22     1    13
 -2.1316579950034451E+00 a       434     0    22     1    14
  1.0089371354553711E+00 a       435     0    22     1    15
 -9.8514206874245436E-01 a       436     0    22     1    16
  1.9413911241706507E+00 a       437     0    22     1    17
 -3.5321980316352386E+00 a       438     0    22     1    18
  1.0725080701932075E+00 a       439     0    22     1    19
  1.5042792533866403E+00 a       440     0    22     1    20
  1.8871250911009358E+02 a       441     0    23     1     1
  5.0260716597012689E+01 a       442     0    23     1     2
  1.2601808166362325E+01 a       443     0    23     1     3
 -8.9158848800089761E+00 a       444     0    23     1     4
  5.8581928683128091E+01 a       445     0    23     1     5
  1.0800677404026042E+02 a       446     0    23     1     6
  2.1327358737816260E+00 a       447     0    23     1     7
 -6.0575258360127634E+01 a       448     0    23     1     8
  2.6309032731756585E+00 a       449     0    23     1     9
  2.9231412651408796E+01 a       450     0    23     1    10
  6.9639337728915748E+01 a       451     0    23     1    11
 -6.0707019837343374E+01 a       452     0    23     1    12
 -1.1384217973580209E+02 a       453     0    23     1    13
 -7.0951509739081446E+00 a       454     0    23     1    14
  3.2554947772701894E+01 a       455     0    23     1    15
 -1.2403738970508326E+02 a       456     0    23     1    16
 -4.7235754030557317E+01 a       457     0    23     1    17
 -2.3059454509900114E+01 a       458     0    23     1    18
  6.6413543444432932E+01 a       459     0    23     1    19
  6.3145434345699059E+01 a       460     0    23     1    20
  2.6784992018781868E+01 a       461     0    24     1     1
  4.0317768207965592E+01 a       462     0    24     1     2
  3.4753790330790181E+01 a       463     0    24     1     3
 -3.0048008042908290E+01 a       464     0    24     1     4
 -2.5376736514277820E+01 a       465     0    24     1     5
 -1.4682564549616247E+01 a       466     0    24     1     6
  1.6199034353332443E+01 a       467     0    24     1     7
  2.7882213783920213E+00 a       468     0    24     1     8
  1.3694921601477173E+01 a       469     0    24     1     9
 -4.1814681612031874E+00 a       470     0    24     1    10
 -3.3219571659100531E+00 a       471     0    24     1    11
  2.2128527145530622E+01 a       472     0    24     1    12
 -1.9474968814075091E+01 a       473     0    24     1    13
 -1.1342067048751037E+01 a       474     0    24     1    14
  3.6201336096011021E+00 a       475     0    24     1    15
 -4.6712057155251827E+00 a       476     0    24     1    16
  2.8144189297472555E+00 a       477     0    24     1    17
 -2.2542220585249456E+01 a       478     0    24     1    18
  1.7092020472344732E+01 a       479     0    24     1    19
 -6.8355881458491181E+00 a       480     0    24     1    20
 -4.7361792231200637E+00 a       481     0    25     1     1
  1.7023310723366716E+01 a       482     0    25     1     2
  2.1589663867235043E+01 a       483     0    25     1     3
  1.9161849943666201E+01 a       484     0    25     1     4
 -1.0738223797831650E+02 a       485     0    25     1     5
  9.7889990621771616E+00 a       486     0    25     1     6
 -4.6744901991150745E-01 a       487     0    25     1     7
 -2.1031462551018532E+01 a       488     0    25     1     8
 -1.9780114001610841E+01 a       489     0    25     1     9
  1.6623672153374753E+02 a       490     0    25     1    10
 -7.2437265411349809E+00 a       491     0    25     1    11
  2.9757303740742717E+01 a       492     0    25     1    12
 -3.8034356616582429E+01 a       493     0    25     1    13
 -1.8554772621339762E+01 a       494     0    25     1    14
  7.4096052309164839E-01 a       495     0    25     1    15
  7.5126998172062764E+00 a       496     0    25     1    16
  4.2652691874888093E+00 a       497     0    25     1    17
 -3.5766616485083546E+01 a       498     0    25     1    18
  3.3738272673689075E+01 a       499     0    25     1    19
 -3.6000438607311054E+01 a       500     0    25     1    20
 -1.1573372584716240E+02 a       501     0    26     1     1
  1.4146056364258431E+01 a       502     0    26     1     2
  1.5302712076781384E+01 a       503     0    26     1     3
 -6.7594587516255359E+01 a       504     0    26     1     4
  2.4419687760945514E+01 a       505     0    26     1     5
 -4.3957639006879347E+01 a       506     0    26     1     6
  4.9033816952954979E+01 a       507     0    26     1     7
  3.2899307848729947E+01 a       508     0    26     1     8
 -1.3704639101096355E+01 a       509     0    26     1     9
 -4.5760497512708433E+01 a       510     0    26     1    10
  2.1814225389085305E+01 a       511     0    26     1    11
 -4.5530650894278040E+00 a       512     0    26     1    12
  1.7567766645042121E+02 a       513     0    26     1    13
  3.7767662329283439E+01 a       514     0    26     1    14
 -1.0027591837303660E+01 a       515     0    26     1    15
  1.1957970610828566E+02 a       516     0    26     1    16
 -1.0277005919800193E+02 a       517     0    26     1    17
  4.6381772728316342E+01 a       518     0    26     1    18
 -6.8683396873905849E+01 a       519     0    26     1    19
 -3.3583216375160760E+01 a       520     0    26     1    20
  8.6623367714724040E+00 a       521     0    27     1     1
 -2.5929503441404609E+01 a       522     0    27     1     2
  3.7621663829656322E+00 a       523     0    27     1     3
 -2.8785463272618053E+01 a       524     0    27     1     4
 -1.9823585879623813E+01 a       525     0    27     1     5
  1.9218077007568446E+01 a       526     0    27     1     6
 -3.1588410162788215E+01 a       527     0    27     1     7
 -1.4130029621288227E+00 a       528     0    27     1     8
