################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -6.1676780529996300E+01 a         1     0     1     1     1
  5.9162240478602307E+01 a         2     0     1     1     2
  7.6907524072643376E+00 a         3     0     1     1     3
  1.7052314347063660E+02 a         4     0     1     1     4
  3.5459840120979029E+00 a         5     0     1     1     5
  5.4314692950769853E+01 a         6     0     1     1     6
  1.1232196995556558E+02 a         7     0     1     1     7
  2.6791285663817401E+01 a         8     0     1     1     8
 -3.9671019472810194E+01 a         9     0     1     1     9
  3.9490374162062658E+01 a        10     0     1     1    10
 -2.8570824043862075E+01 a        11     0     1     1    11
  5.6510761083352250E+01 a        12     0     1     1    12
  4.1766201265797065E+01 a        13     0     1     1    13
 -1.2296237046531674E+01 a        14     0     1     1    14
 -2.8812144783348234E+01 a        15     0     1     1    15
 -1.6992979999968991E+01 a        16     0     1     1    16
 -1.1256770694679605E+02 a        17     0     1     1    17
 -4.2193488094943383E+01 a        18     0     1     1    18
  2.2942575916268844E+01 a        19     0     1     1    19
  2.1234952199582079E+02 a        20     0     1     1    20
  6.3783654066871030E+01 a        21     0     2     1     1
  2.9063924798291865E+01 a        22     0     2     1     2
  3.7261376205034601E+01 a        23     0     2     1     3
 -7.9977034979293975E+01 a        24     0     2     1     4
  2.2084385682536965E+01 a        25     0     2     1     5
 -2.3691855664402745E+01 a        26     0     2     1     6
  2.1666783287572887E+01 a        27     0     2     1     7
 -5.5509248858146229E+01 a        28     0     2     1     8
 -2.3649458443984191E+01 a        29     0     2     1     9
 -6.3880148792665302E+01 a        30     0     2     1    10
  3.7022090443946354E+01 a        31     0     2     1    11
 -3.4962650075586190E+01 a        32     0     2     1    12
  3.5697314636784071E+01 a        33     0     2     1    13
 -9.6183885861242487E+01 a        34     0     2     1    14
 -6.5671379026145829E+00 a        35     0     2     1    15
 -6.4314603549750558E+01 a        36     0     2     1    16
  1.6507687172756964E+00 a        37     0     2     1    17
  1.8863121997239897E+01 a        38     0     2     1    18
 -2.7948534141695330E+01 a        39     0     2     1    19
 -1.4686559183599977E+01 a        40     0     2     1    20
  1.8688215037863407E+02 a        41     0     3     1     1
 -1.1809861979408959E+02 a        42     0     3     1     2
 -9.3309830990927036E+00 a        43     0     3     1     3
 -3.0136211760449635E+02 a        44     0     3     1     4
  3.8532073033965013E+01 a        45     0     3     1     5
 -1.1935366747280220E+02 a        46     0     3     1     6
 -1.9501308218437691E+02 a        47     0     3     1     7
 -5.3678846194296824E+01 a        48     0     3     1     8
  5.9105629305691565E+01 a        49     0     3     1     9
 -9.3739768764919020E+01 a        50     0     3     1    10
  4.8986496812998574E+01 a        51     0     3     1    11
 -3.4489125740304097E+01 a        52     0     3     1    12
 -6.7230113582457520E+01 a        53     0     3     1    13
  4.7450073183580024E+01 a        54     0     3     1    14
  2.1016224093865951E+01 a        55     0     3     1    15
  4.2276012671112198E+01 a        56     0     3     1    16
  1.1284290601461539E+02 a        57     0     3     1    17
  3.3857059291438361E+01 a        58     0     3     1    18
 -7.3921974411892506E+01 a        59     0     3     1    19
 -3.4458282630836010E+02 a        60     0     3     1    20
 -2.0206382270203017E+02 a        61     0     4     1     1
 -7.6403959594872305E+01 a        62     0     4     1     2
 -7.8133684197466508E+01 a        63     0     4     1     3
  1.2529299773632300E+02 a        64     0     4     1     4
 -5.4438956685201127E+01 a        65     0     4     1     5
  4.9036658777665373E+01 a        66     0     4     1     6
 -9.3351143621697503E+01 a        67     0     4     1     7
  1.2137377188934776E+02 a        68     0     4     1     8
  5.0096981312296997E+01 a        69     0     4     1     9
  9.5637214062951031E+01 a        70     0     4     1    10
 -3.3817695401672580E+01 a        71     0     4     1    11
  1.0168101715519605E+02 a        72     0     4     1    12
 -4.5256390768641005E+01 a        73     0     4     1    13
  1.9435421946784359E+02 a        74     0     4     1    14
  1.6445123350219490E+01 a        75     0     4     1    15
  1.2955765927024677E+02 a        76     0     4     1    16
 -1.1518619705661379E+00 a        77     0     4     1    17
 -3.3592236972449037E+01 a        78     0     4     1    18
  7.3133008973441179E+01 a        79     0     4     1    19
