################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -5.3024502817743029E+00 a       117     0     6     1    17
  4.9994020985435723E+00 a       118     0     6     1    18
 -2.3013360913970168E-01 a       119     0     6     1    19
  2.5178256750491479E+00 a       120     0     6     1    20
 -1.8019427767888136E+00 a       121     0     7     1     1
 -2.7351268725384790E+00 a       122     0     7     1     2
 -2.4620393692059225E-01 a       123     0     7     1     3
 -3.6172585492309839E+00 a       124     0     7     1     4
 -1.9043318500906794E+00 a       125     0     7     1     5
 -2.8689884676862905E+00 a       126     0     7     1     6
  3.4787495875799790E+00 a       127     0     7     1     7
  9.6997469190214414E-01 a       128     0     7     1     8
 -4.0384466713066569E+00 a       129     0     7     1     9
  2.4701683041309655E-01 a       130     0     7     1    10
 -1.5022757110257328E+00 a       131     0     7     1    11
 -2.0786020375385266E+00 a       132     0     7     1    12
 -5.9210686668839108E-01 a       133     0     7     1    13
 -3.5710267080979028E+00 a       134     0     7     1    14
 -5.6799127194555590E+00 a       135     0     7     1    15
 -8.7326745825703420E-02 a       136     0     7     1    16
  2.7616995900687100E+00 a       137     0     7     1    17
  4.0768850877702034E+00 a       138     0     7     1    18
 -8.4135974972321370E-01 a       139     0     7     1    19
 -7.8365614279839249E-02 a       140     0     7     1    20
  2.2552303576855146E+00 a       141     0     8     1     1
 -1.5479897026167881E+00 a       142     0     8     1     2
  8.7755130394005731E-02 a       143     0     8     1     3
  7.4435423412227453E-01 a       144     0     8     1     4
 -2.2724029528772474E+00 a       145     0     8     1     5
 -1.9310428629914893E+00 a       146     0     8     1     6
  4.3421948486829489E+00 a       147     0     8     1     7
  1.1394435632648598E+00 a       148     0     8     1     8
  1.2489039310675341E+00 a       149     0     8     1     9
 -1.5572399867228535E+00 a       150     0     8     1    10
  3.1815210572861097E-01 a       151     0     8     1    11
 -3.5107310657226982E+00 a       152     0     8     1    12
 -2.7411921427888166E+00 a       153     0     8     1    13
 -4.4932082364520483E+00 a       154     0     8     1    14
 -3.3397480416009366E+00 a       155     0     8     1    15
  3.5189514948737357E+00 a       156     0     8     1    16
  2.9938054660651212E+00 a       157     0     8     1    17
 -2.8808166922974570E+00 a       158     0     8     1    18
 -1.8828527725876580E+00 a       159     0     8     1    19
 -6.2044227195175523E+00 a       160     0     8     1    20
 -8.0489464854918573E+00 a       161     0     9     1     1
  2.0417974701819954E+00 a       162     0     9     1     2
 -2.6624478903906317E+00 a       163     0     9     1     3
 -2.5984985213367068E-01 a       164     0     9     1     4
 -9.9239323300962368E-01 a       165     0     9     1     5
 -3.5266859497355103E+00 a       166     0     9     1     6
  8.0133132167176768E+00 a       167     0     9     1     7
  8.5953909570385012E-02 a       168     0     9     1     8
 -8.2855252272756594E+00 a       169     0     9     1     9
  6.7657250297045159E+00 a       170     0     9     1    10
  2.9834659239307313E+00 a       171     0     9     1    11
 -4.5894796727324971E+00 a       172     0     9     1    12
  5.3789288235112864E-01 a       173     0     9     1    13
 -2.5064851499940457E+00 a       174     0     9     1    14
  9.4534452994224395E-03 a       175     0     9     1    15
  1.7445457305704840E-01 a       176     0     9     1    16
  4.0363198556431173E-01 a       177     0     9     1    17
 -9.5771770315439986E-01 a       178     0     9     1    18
 -1.0156216018363016E+00 a       179     0     9     1    19
