################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         43   0.0000000000000000E+00   7.1485412070645431E+00   5.3935187044865085E-01   7.6987947905966114E-01
         1         44   0.0000000000000000E+00   1.1883008949147460E+02   2.4637132974575000E+01   1.8492944316397637E+01
         1         45   0.0000000000000000E+00   3.2612703086640906E+01   6.0092665540761399E+00   3.2876762072597221E+00
         1         46   0.0000000000000000E+00   1.5808986084852123E+01   1.7449024231125798E+00   1.6647709481916331E+00
         1         47   0.0000000000000000E+00   1.1204087992823414E+01   2.4986152751017943E+00   1.6984418654643827E+00
         1         48   0.0000000000000000E+00   4.4256098556672629E+00   5.5266669067145291E-01   4.3662982378448162E-01
         1         49   0.0000000000000000E+00   1.4731244345982635E+00   4.4902954055442736E-02   1.3622023168154687E-01
         1         50   0.0000000000000000E+00   6.4581552621673197E+01   1.4834795559022355E+01   1.0461637949159725E+01
         1         51   0.0000000000000000E+00   1.5679358274046324E+01   2.7246395405381780E+00   1.5312120107036633E+00
         1         52   0.0000000000000000E+00   7.8855220992483712E+00   9.3498327633074896E-01   7.9365463019115956E-01
         2          1   0.0000000000000000E+00   1.8089281062440364E+01   1.8611244382549634E+00   2.4715929042764486E+00
         2          2   4.3318631648526533E-03   1.4815327781277418E+01   6.8999158321474336E+00   1.5139440851520323E+00
         2          3   0.0000000000000000E+00   1.2604463995127379E+01   1.2537362600395974E+00   1.7259124969602389E+00
         2          4   1.4539518315252803E-03   1.0549626818692815E+01   4.8048160600726550E+00   1.0835963348527575E+00
         2          5   0.0000000000000000E+00   8.8134009319113762E+00   8.4575724401475982E-01   1.2042412958180644E+00
         2          6   4.3225973677754750E-04   7.5066053011992802E+00   3.3156195462705944E+00   7.7256613081217884E-01
         2          7   0.0000000000000000E+00   3.9288244429991273E+00   3.1799557365487857E-01   4.8736084717063893E-01
         2          8   1.1358711840686851E-05   3.1596772322481872E+00   1.2185405074700586E+00   3.1686281591141296E-01
